student_id,cgpa,tenth_percentage,twelfth_percentage,backlogs,internships,projects,coding_score,aptitude_score,communication_score,attendance,certifications,placed
1,8.06,56,72,1,1,1,87,46,88,94,0,1
2,7.86,57,56,0,1,1,72,78,46,95,1,1
3,8.36,89,81,1,3,4,57,91,45,70,5,1
4,7.19,72,64,1,2,0,45,64,51,82,6,1
5,6.88,71,57,3,0,3,45,75,63,83,4,0
6,6.27,59,57,1,2,0,94,54,51,84,2,0
7,7.31,78,65,2,2,1,82,57,89,64,4,1
8,8.04,89,70,1,3,3,57,80,89,95,1,1
9,8.24,58,69,0,2,3,57,44,58,96,5,1
10,6.76,86,80,3,1,2,48,55,92,95,4,0
11,6.55,92,82,3,2,1,48,72,76,65,6,0
12,5.69,62,64,1,3,4,44,64,69,98,3,1
13,7.62,90,55,0,2,5,61,47,63,87,1,1
14,7.31,71,87,1,0,5,59,93,85,92,4,1
15,6.3,78,65,0,2,3,41,47,68,79,1,1
16,5.73,91,60,0,3,0,88,74,94,68,1,1
17,8.14,90,65,2,3,1,74,88,91,72,5,1
18,6.75,78,83,3,0,1,54,44,66,61,4,0
19,7.72,92,69,0,0,5,80,43,59,64,0,1
20,8.94,59,87,1,2,5,71,53,79,68,5,1
21,9.24,91,91,3,1,3,91,66,57,66,0,1
22,8.14,77,82,3,3,5,43,83,86,66,0,1
23,7.11,76,61,1,1,1,74,68,53,87,1,1
24,6.61,70,59,3,0,0,81,74,45,65,6,0
25,8.89,65,81,3,3,1,95,65,48,70,3,1
26,5.51,79,71,3,2,3,84,86,95,95,5,0
27,8.37,64,67,2,1,0,77,87,79,63,5,1
28,6.75,58,92,3,1,0,72,45,56,64,4,0
29,5.77,70,80,0,1,4,78,42,84,65,3,1
30,8.13,91,88,2,2,1,82,85,65,75,2,1
31,7.08,74,84,2,0,0,69,79,81,66,0,0
32,7.65,87,71,1,2,0,55,63,63,70,3,1
33,8.83,74,94,0,2,5,46,48,61,67,0,1
34,8.47,64,72,2,1,5,61,53,88,76,4,1
35,7.45,58,60,3,2,0,40,61,94,68,5,0
36,9.42,65,83,3,0,0,44,84,54,94,0,0
37,8.84,92,90,1,3,1,42,59,68,62,2,1
38,6.34,70,61,2,3,4,87,49,60,70,6,1
39,8.74,81,56,1,2,3,91,82,92,75,2,1
40,6.14,61,79,0,3,1,52,92,74,82,2,1
41,8.78,69,69,0,1,3,61,57,49,77,2,1
42,8.07,80,89,2,0,0,56,51,82,76,0,0
43,5.93,82,77,2,3,4,72,47,69,96,1,1
44,6.52,82,55,1,2,3,44,82,66,80,5,1
45,8.89,74,87,2,3,2,65,84,63,95,1,1
